GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
400136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,179,208
400137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,155,362
400138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,198,528
4001310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,128,171
4001311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,67,124
4001312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,88,240
4001313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,154,410
4001314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,101,210
4001315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,178,339
4001316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,76,202
4001317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,226,494
4001318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,293,606
4001319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,103,255
4001320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,262,487
4001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,77,210
4001322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,290,444
4001323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,126,148
4001325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,186,449
4001326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,65,167
4001327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,199,554
4001328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,183,421
4001329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,94,102
4001330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,64,81
4001333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,227,825
4001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,216,140
4001522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,110,61
4001531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,170,189
4001541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,245,295
4001551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,110,207
4001552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,107,148
4001553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,92,117
40015102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,359,563
40015509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,124,319
40015510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,190,509
40015511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,364,672
40015609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,31,89
40015711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,87,83
40015712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,201,321
40015810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,70,106
40015811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,111,244
40015812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,86,166
40015913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,52,102
400151009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,59,172
400151010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,163,379
400151011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,83,235
