GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120950226,0,0,0,0,0,0,1706,713,987
120950227,0,0,0,0,0,0,1937,801,1123
120950228,0,0,0,0,0,0,1683,718,959
120950229,0,0,0,0,0,0,1115,476,629
120950230,0,0,0,0,0,0,1507,526,974
120950231,0,0,0,0,0,0,1598,659,932
120950232,0,0,0,0,0,0,1456,747,700
120950233,0,0,0,0,0,0,1646,748,888
120950234,0,0,0,0,0,0,1814,757,1038
120950235,0,0,0,0,0,0,1303,806,484
120950236,0,0,0,0,0,0,1641,971,654
120950237,0,0,0,0,0,0,809,554,249
120950238,0,0,0,0,0,0,1583,952,610
120950239,0,0,0,0,0,0,1407,884,511
120950240,0,0,0,0,0,0,1623,865,748
120950241,0,0,0,0,0,0,1925,1226,684
120950242,0,0,0,0,0,0,1852,832,999
120950243,0,0,0,0,0,0,1697,813,869
120950244,0,0,0,0,0,0,1650,885,756
120950245,0,0,0,0,0,0,1804,1053,737
120950246,0,0,0,0,0,0,3815,2822,965
120950247,0,0,0,0,0,0,1896,1250,624
120950248,0,0,0,0,0,0,1574,790,773
120950249,0,0,0,0,0,0,1331,657,665
120950250,0,0,0,0,0,0,12,6,6
120950251,0,0,0,0,0,0,3159,1605,1529
120950252,0,0,0,0,0,0,1963,1188,764
120950253,0,0,0,0,0,0,1368,680,684
120950254,0,0,0,0,0,0,1874,1516,334
120950255,0,0,0,0,0,0,1414,844,557
120950256,0,0,0,0,0,0,1541,951,581
120950257,0,0,0,0,0,0,1120,365,749
120950258,0,0,0,0,0,0,2329,1374,939
120950259,0,0,0,0,0,0,2475,1368,1088
120950260,0,0,0,0,0,0,1662,1522,134
120950261,0,0,0,0,0,0,1532,1419,103
120950262,0,0,0,0,0,0,1625,1530,90
120950263,0,0,0,0,0,0,1256,1181,69
120950264,0,0,0,0,0,0,1259,1034,218
120950265,0,0,0,0,0,0,1588,1116,461
120950266,0,0,0,0,0,0,1649,1423,218
120950267,0,0,0,0,0,0,1491,1176,305
120950268,0,0,0,0,0,0,1015,775,232
120950269,0,0,0,0,0,0,1186,1100,83
120950270,0,0,0,0,0,0,1820,1796,23
120950271,0,0,0,0,0,0,1736,1712,21
120950272,0,0,0,0,0,0,1946,1692,247
120950273,0,0,0,0,0,0,1576,1314,259
120950274,0,0,0,0,0,0,1986,1927,55
120950275,0,0,0,0,0,0,1417,1390,26
120950276,0,0,0,0,0,0,1734,1711,19
120950277,0,0,0,0,0,0,1737,1426,302
120950278,0,0,0,0,0,0,1686,1433,243
120950279,0,0,0,0,0,0,1781,1488,290
120950280,0,0,0,0,0,0,2041,1766,270
120950281,0,0,0,0,0,0,1315,1200,108
120950282,0,0,0,0,0,0,1736,1491,233
120950283,0,0,0,0,0,0,1725,1494,225
120950284,0,0,0,0,0,0,2173,1716,441
120950285,0,0,0,0,0,0,27,19,8
120950286,0,0,0,0,0,0,1536,1079,445
120950287,0,0,0,0,0,0,1529,1226,295
120950288,0,0,0,0,0,0,1751,1249,492
120950289,0,0,0,0,0,0,1702,1220,473
120950290,0,0,0,0,0,0,1360,975,377
120970001,0,0,0,0,0,0,777,362,411
120970002,0,0,0,0,0,0,0,0,0
120970003,0,0,0,0,0,0,828,537,286
120970004,0,0,0,0,0,0,3928,1643,2256
120970005,0,0,0,0,0,0,280,136,141
120970006,0,0,0,0,0,0,128,50,77
120970007,0,0,0,0,0,0,3312,2692,611
120970008,0,0,0,0,0,0,2865,2280,574
120970009,0,0,0,0,0,0,850,692,155
120970010,0,0,0,0,0,0,2170,1701,459
120970011,0,0,0,0,0,0,985,687,292
120970012,0,0,0,0,0,0,1406,741,662
120970013,0,0,0,0,0,0,712,299,407
120970014,0,0,0,0,0,0,2333,1386,939
120970015,0,0,0,0,0,0,0,0,0
120970016,0,0,0,0,0,0,0,0,0
120970017,0,0,0,0,0,0,0,0,0
120970018,0,0,0,0,0,0,0,0,0
120970019,0,0,0,0,0,0,3,2,1
120970020,0,0,0,0,0,0,17,10,7
120970021,0,0,0,0,0,0,0,0,0
120970022,0,0,0,0,0,0,0,0,0
120970023,0,0,0,0,0,0,5,3,2
120970024,0,0,0,0,0,0,0,0,0
120970025,0,0,0,0,0,0,0,0,0
120970026,0,0,0,0,0,0,0,0,0
120970027,0,0,0,0,0,0,3,2,1
120970028,0,0,0,0,0,0,10,6,4
120970029,0,0,0,0,0,0,1941,1205,720
120970030,0,0,0,0,0,0,0,0,0
120970031,0,0,0,0,0,0,0,0,0
120970032,0,0,0,0,0,0,803,518,280
120970033,0,0,0,0,0,0,2,1,1
120970034,0,0,0,0,0,0,896,560,332
120970035,0,0,0,0,0,0,0,0,0
120970036,0,0,0,0,0,0,728,483,238
120970037,0,0,0,0,0,0,97,91,6
120970038,0,0,0,0,0,0,0,0,0
120970039,0,0,0,0,0,0,0,0,0
120970040,0,0,0,0,0,0,102,51,48
120970041,0,0,0,0,0,0,0,0,0
120970042,0,0,0,0,0,0,42,22,20
120970043,0,0,0,0,0,0,100,38,59
120970044,0,0,0,0,0,0,0,0,0
120970045,0,0,0,0,0,0,0,0,0
120970046,0,0,0,0,0,0,0,0,0
120970047,0,0,0,0,0,0,0,0,0
120970048,0,0,0,0,0,0,538,363,170
120970049,0,0,0,0,0,0,12,11,1
120970050,0,0,0,0,0,0,1177,728,441
120970051,0,0,0,0,0,0,1,1,0
120970052,0,0,0,0,0,0,31,20,11
120970053,0,0,0,0,0,0,0,0,0
120970054,0,0,0,0,0,0,1,1,0
120970055,0,0,0,0,0,0,917,571,339
120970056,0,0,0,0,0,0,2958,2240,704
120970057,0,0,0,0,0,0,0,0,0
120970058,0,0,0,0,0,0,232,128,101
120970059,0,0,0,0,0,0,606,384,218
120970060,0,0,0,0,0,0,411,289,119
120970061,0,0,0,0,0,0,1918,1223,685
120970062,0,0,0,0,0,0,32,13,19
120970063,0,0,0,0,0,0,134,53,79
120970064,0,0,0,0,0,0,1245,898,340
120970065,0,0,0,0,0,0,242,153,88
120970066,0,0,0,0,0,0,16,10,6
120970067,0,0,0,0,0,0,674,572,100
120970068,0,0,0,0,0,0,0,0,0
120970069,0,0,0,0,0,0,0,0,0
120970070,0,0,0,0,0,0,412,397,14
120970071,0,0,0,0,0,0,0,0,0
120970072,0,0,0,0,0,0,0,0,0
120970073,0,0,0,0,0,0,0,0,0
120970074,0,0,0,0,0,0,983,627,353
120970075,0,0,0,0,0,0,97,60,36
120970076,0,0,0,0,0,0,0,0,0
120970077,0,0,0,0,0,0,17,11,6
120970078,0,0,0,0,0,0,0,0,0
120970079,0,0,0,0,0,0,0,0,0
120970080,0,0,0,0,0,0,0,0,0
120970081,0,0,0,0,0,0,195,133,62
120970082,0,0,0,0,0,0,1578,983,583
120970083,0,0,0,0,0,0,1345,753,585
120970084,0,0,0,0,0,0,0,0,0
120970085,0,0,0,0,0,0,2968,2271,689
120970086,0,0,0,0,0,0,53,38,15
120970087,0,0,0,0,0,0,2178,803,1365
120970088,0,0,0,0,0,0,2661,1590,1050
120970089,0,0,0,0,0,0,1650,992,649
120970090,0,0,0,0,0,0,1644,1067,568
120970091,0,0,0,0,0,0,3723,2844,854
120970092,0,0,0,0,0,0,1091,850,233
120970093,0,0,0,0,0,0,3429,2638,778
120970094,0,0,0,0,0,0,1616,1224,384
120970095,0,0,0,0,0,0,104,38,63
120970096,0,0,0,0,0,0,5,2,3
120970097,0,0,0,0,0,0,0,0,0
120970098,0,0,0,0,0,0,20,7,12
120970099,0,0,0,0,0,0,2723,1449,1258
120970100,0,0,0,0,0,0,590,215,371
