GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
35001291,548,331,217,0,0,0
35001292,896,482,414,0,0,0
35001293,733,477,256,0,0,0
35001294,663,236,427,0,0,0
35001295,569,257,312,0,0,0
35001296,383,243,140,0,0,0
35001297,823,467,356,0,0,0
35001298,787,490,297,0,0,0
35001299,786,426,360,0,0,0
35001300,406,256,150,0,0,0
35001301,603,299,304,0,0,0
35001302,1495,663,832,0,0,0
35001303,392,245,147,0,0,0
35001304,426,210,216,0,0,0
35001305,595,386,209,0,0,0
35001306,381,212,169,0,0,0
35001307,564,275,289,0,0,0
35001308,449,190,259,0,0,0
35001311,488,367,121,0,0,0
35001312,496,372,124,0,0,0
35001313,283,202,81,0,0,0
35001314,518,287,231,0,0,0
35001315,446,267,179,0,0,0
35001316,624,375,249,0,0,0
35001317,351,199,152,0,0,0
35001318,448,372,76,0,0,0
35001321,387,268,119,0,0,0
35001322,281,193,88,0,0,0
35001323,491,367,124,0,0,0
35001324,1186,673,513,0,0,0
35001326,420,318,102,0,0,0
35001327,574,381,193,0,0,0
35001328,1018,534,484,0,0,0
35001329,440,308,132,0,0,0
35001330,365,259,106,0,0,0
35001331,320,214,106,0,0,0
35001332,587,300,287,0,0,0
35001333,909,370,539,0,0,0
35001341,414,321,93,0,0,0
35001342,286,253,33,0,0,0
35001343,520,417,103,0,0,0
35001344,666,468,198,0,0,0
35001345,954,710,244,0,0,0
35001346,444,319,125,0,0,0
35001347,491,321,170,0,0,0
35001351,351,298,53,0,0,0
35001352,447,372,75,0,0,0
35001353,316,278,38,0,0,0
35001354,445,339,106,0,0,0
35001355,468,415,53,0,0,0
35001356,392,328,64,0,0,0
35001357,296,247,49,0,0,0
35001358,936,718,218,0,0,0
35001371,661,447,214,0,0,0
35001372,317,226,91,0,0,0
35001373,371,243,128,0,0,0
35001374,428,307,121,0,0,0
35001375,857,601,256,0,0,0
35001381,411,345,66,0,0,0
35001382,368,278,90,0,0,0
35001383,467,398,69,0,0,0
35001384,523,404,119,0,0,0
35001385,466,344,122,0,0,0
35001386,354,270,84,0,0,0
35001387,403,305,98,0,0,0
35001400,310,185,125,0,0,0
35001401,483,283,200,0,0,0
35001402,535,296,239,0,0,0
35001403,415,266,149,0,0,0
35001404,603,337,266,0,0,0
35001405,477,329,148,0,0,0
35001406,374,235,139,0,0,0
35001407,747,391,356,0,0,0
35001408,500,221,279,0,0,0
35001409,945,572,373,0,0,0
35001410,577,316,261,0,0,0
35001411,542,344,198,0,0,0
35001412,215,142,73,0,0,0
35001413,652,425,227,0,0,0
35001414,292,161,131,0,0,0
35001415,298,161,137,0,0,0
35001416,391,251,140,0,0,0
35001417,502,322,180,0,0,0
35001418,385,214,171,0,0,0
35001419,916,489,427,0,0,0
35001420,955,569,386,0,0,0
35001421,719,382,337,0,0,0
35001422,1418,751,667,0,0,0
35001423,1469,648,821,0,0,0
35001424,1708,746,962,0,0,0
35001425,2022,914,1108,0,0,0
35001426,899,418,481,0,0,0
35001427,1677,766,911,0,0,0
35001428,641,367,274,0,0,0
35001429,963,454,509,0,0,0
35001430,635,305,330,0,0,0
35001431,483,311,172,0,0,0
35001432,624,429,195,0,0,0
35001433,444,303,141,0,0,0
35001434,319,218,101,0,0,0
35001435,625,366,259,0,0,0
35001436,462,303,159,0,0,0
35001437,329,233,96,0,0,0
35001438,743,534,209,0,0,0
35001439,735,487,248,0,0,0
35001440,307,180,127,0,0,0
35001441,441,288,153,0,0,0
35001442,486,341,145,0,0,0
35001443,359,257,102,0,0,0
35001444,371,266,105,0,0,0
35001445,387,201,186,0,0,0
35001446,439,280,159,0,0,0
35001447,1608,596,1012,0,0,0
35001448,1087,548,539,0,0,0
35001449,819,516,303,0,0,0
35001450,469,188,281,0,0,0
35001451,456,268,188,0,0,0
35001452,459,253,206,0,0,0
35001453,983,632,351,0,0,0
35001454,795,383,412,0,0,0
35001455,1905,1091,814,0,0,0
35001461,394,209,185,0,0,0
35001462,361,236,125,0,0,0
35001463,399,219,180,0,0,0
35001464,320,167,153,0,0,0
35001465,696,441,255,0,0,0
35001466,506,257,249,0,0,0
35001471,453,210,243,0,0,0
35001472,331,151,180,0,0,0
35001473,404,244,160,0,0,0
35001474,319,174,145,0,0,0
35001475,557,359,198,0,0,0
35001476,580,287,293,0,0,0
35001477,672,456,216,0,0,0
35001478,646,423,223,0,0,0
35001480,717,362,355,0,0,0
35001481,334,213,121,0,0,0
35001482,642,259,383,0,0,0
35001483,816,402,414,0,0,0
35001484,527,303,224,0,0,0
35001485,713,371,342,0,0,0
35001486,780,388,392,0,0,0
35001487,616,319,297,0,0,0
35001488,715,355,360,0,0,0
35001489,784,385,399,0,0,0
35001490,598,232,366,0,0,0
35001491,452,224,228,0,0,0
35001492,359,198,161,0,0,0
35001493,502,249,253,0,0,0
35001494,442,233,209,0,0,0
35001495,659,366,293,0,0,0
35001496,423,191,232,0,0,0
35001497,535,261,274,0,0,0
35001498,729,458,271,0,0,0
35001499,518,279,239,0,0,0
35001500,733,328,405,0,0,0
35001502,669,379,290,0,0,0
35001503,401,223,178,0,0,0
35001504,360,229,131,0,0,0
35001505,417,224,193,0,0,0
35001506,445,255,190,0,0,0
35001507,416,209,207,0,0,0
35001508,376,207,169,0,0,0
35001509,291,167,124,0,0,0
35001510,743,387,356,0,0,0
35001511,586,262,324,0,0,0
35001512,702,321,381,0,0,0
35001513,851,426,425,0,0,0
35001514,721,377,344,0,0,0
35001515,487,194,293,0,0,0
35001516,898,483,415,0,0,0
35001517,509,230,279,0,0,0
35001518,740,349,391,0,0,0
35001519,324,171,153,0,0,0
35001520,875,388,487,0,0,0
35001521,686,345,341,0,0,0
35001522,985,463,522,0,0,0
35001523,559,275,284,0,0,0
35001524,357,151,206,0,0,0
35001525,655,352,303,0,0,0
35001526,754,315,439,0,0,0
35001527,303,101,202,0,0,0
35001528,312,142,170,0,0,0
35001529,1026,574,452,0,0,0
35001530,766,402,364,0,0,0
35001531,506,314,192,0,0,0
35001532,542,292,250,0,0,0
35001533,441,259,182,0,0,0
35001534,615,337,278,0,0,0
35001535,447,276,171,0,0,0
35001536,339,189,150,0,0,0
35001537,836,436,400,0,0,0
35001538,751,409,342,0,0,0
35001539,971,524,447,0,0,0
35001540,750,379,371,0,0,0
35001541,1473,526,947,0,0,0
35001542,524,324,200,0,0,0
35001543,393,252,141,0,0,0
35001544,662,371,291,0,0,0
35001545,553,300,253,0,0,0
35001546,651,280,371,0,0,0
35001547,573,320,253,0,0,0
35001548,867,424,443,0,0,0
35001549,706,380,326,0,0,0
35001550,590,327,263,0,0,0
35001551,173,117,56,0,0,0
35001552,833,442,391,0,0,0
35001553,1639,696,943,0,0,0
35001554,459,250,209,0,0,0
35001555,477,242,235,0,0,0
35001556,499,227,272,0,0,0
35001557,1795,733,1062,0,0,0
35001558,714,355,359,0,0,0
35001559,1081,575,506,0,0,0
35001560,1067,437,630,0,0,0
35001561,833,426,407,0,0,0
35001562,1044,608,436,0,0,0
35001563,855,361,494,0,0,0
35001564,434,191,243,0,0,0
35001565,561,270,291,0,0,0
35001566,972,434,538,0,0,0
35001567,100,43,57,0,0,0
35001568,1037,351,686,0,0,0
35001569,1294,623,671,0,0,0
35001570,533,299,234,0,0,0
35001571,929,488,441,0,0,0
35001572,354,172,182,0,0,0
35001573,848,386,462,0,0,0
35001601,731,356,375,0,0,0
35001602,1496,575,921,0,0,0
35001603,2314,1110,1204,0,0,0
350031,427,156,271,0,0,0
350032,409,113,296,0,0,0
350033,326,134,192,0,0,0
350034,237,75,162,0,0,0
350035,538,159,379,0,0,0
350036,125,27,98,0,0,0
350051,404,100,304,0,0,0
350052,418,128,290,0,0,0
350053,506,139,367,0,0,0
350054,434,141,293,0,0,0
350055,1022,240,782,0,0,0
350056,512,187,325,0,0,0
350057,614,159,455,0,0,0
350059,695,180,515,0,0,0
3500510,528,89,439,0,0,0
3500511,832,195,637,0,0,0
3500512,326,65,261,0,0,0
3500513,409,196,213,0,0,0
3500514,307,114,193,0,0,0
3500515,309,122,187,0,0,0
3500516,474,222,252,0,0,0
3500521,965,252,713,0,0,0
3500522,396,138,258,0,0,0
3500523,346,134,212,0,0,0
3500524,218,112,106,0,0,0
3500525,259,120,139,0,0,0
3500531,479,209,270,0,0,0
3500532,216,135,81,0,0,0
3500533,321,150,171,0,0,0
3500534,240,116,124,0,0,0
3500535,352,134,218,0,0,0
3500536,512,157,355,0,0,0
3500541,747,185,562,0,0,0
3500542,268,157,111,0,0,0
3500543,330,185,145,0,0,0
3500544,19,5,14,0,0,0
3500545,20,5,15,0,0,0
3500546,93,23,70,0,0,0
3500547,12,3,9,0,0,0
3500551,239,149,90,0,0,0
3500552,308,152,156,0,0,0
3500561,237,185,52,0,0,0
3500562,272,194,78,0,0,0
3500563,652,461,191,0,0,0
3500571,239,94,145,0,0,0
3500572,708,278,430,0,0,0
3500573,288,113,175,0,0,0
3500581,234,99,135,0,0,0
3500582,343,134,209,0,0,0
3500583,292,111,181,0,0,0
3500584,428,196,232,0,0,0
3500585,322,112,210,0,0,0
3500590,414,205,209,0,0,0
3500591,554,234,320,0,0,0
3500592,103,47,56,0,0,0
3500593,654,255,399,0,0,0
3500594,276,126,150,0,0,0
35005101,805,260,545,0,0,0
35005102,606,233,373,0,0,0
35005103,211,61,150,0,0,0
35005104,82,2,80,0,0,0
350061,93,25,68,0,0,0
350062,213,165,48,0,0,0
350063,99,66,33,0,0,0
350064,307,83,224,0,0,0
350065,1015,781,234,0,0,0
350066,111,60,51,0,0,0
350067,454,268,186,0,0,0
350068,490,320,170,0,0,0
350069,786,470,316,0,0,0
3500610,359,203,156,0,0,0
