GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov
410110005022,437,229,192,0,0,0,0,0,0,0,0,0,0,0,0
410110005031,501,265,220,0,0,0,0,0,0,0,0,0,0,0,0
410110005032,577,305,254,0,0,0,0,0,0,0,0,0,0,0,0
410110005041,452,239,200,0,0,0,0,0,0,0,0,0,0,0,0
410110005042,449,237,198,0,0,0,0,0,0,0,0,0,0,0,0
410110005043,313,165,138,0,0,0,0,0,0,0,0,0,0,0,0
410110005044,275,145,121,0,0,0,0,0,0,0,0,0,0,0,0
410110005045,1012,532,444,0,0,0,0,0,0,0,0,0,0,0,0
410110006001,426,223,193,0,0,0,0,0,0,0,0,0,0,0,0
410110006002,277,145,125,0,0,0,0,0,0,0,0,0,0,0,0
410110006003,526,278,233,0,0,0,0,0,0,0,0,0,0,0,0
410110007001,586,312,258,0,0,0,0,0,0,0,0,0,0,0,0
410110007002,274,129,139,0,0,0,0,0,0,0,0,0,0,0,0
410110007003,277,145,125,0,0,0,0,0,0,0,0,0,0,0,0
410110007004,286,157,118,0,0,0,0,0,0,0,0,0,0,0,0
410110007005,296,163,122,0,0,0,0,0,0,0,0,0,0,0,0
410110007006,521,285,216,0,0,0,0,0,0,0,0,0,0,0,0
410110007007,486,250,219,0,0,0,0,0,0,0,0,0,0,0,0
410110007008,506,237,257,0,0,0,0,0,0,0,0,0,0,0,0
410110008001,570,260,294,0,0,0,0,0,0,0,0,0,0,0,0
410110008002,742,397,318,0,0,0,0,0,0,0,0,0,0,0,0
410110009001,811,331,453,0,0,0,0,0,0,0,0,0,0,0,0
410110009002,481,188,280,0,0,0,0,0,0,0,0,0,0,0,0
410110009003,418,177,232,0,0,0,0,0,0,0,0,0,0,0,0
410110009004,493,207,275,0,0,0,0,0,0,0,0,0,0,0,0
410110009005,409,172,228,0,0,0,0,0,0,0,0,0,0,0,0
410110009006,536,218,305,0,0,0,0,0,0,0,0,0,0,0,0
410110009007,468,164,290,0,0,0,0,0,0,0,0,0,0,0,0
410110009008,329,117,202,0,0,0,0,0,0,0,0,0,0,0,0
410110010001,385,177,200,0,0,0,0,0,0,0,0,0,0,0,0
410110010002,592,312,268,0,0,0,0,0,0,0,0,0,0,0,0
410110010003,478,252,216,0,0,0,0,0,0,0,0,0,0,0,0
410110010004,661,346,302,0,0,0,0,0,0,0,0,0,0,0,0
410110010005,498,218,273,0,0,0,0,0,0,0,0,0,0,0,0
410110010006,481,196,272,0,0,0,0,0,0,0,0,0,0,0,0
410110010007,595,260,323,0,0,0,0,0,0,0,0,0,0,0,0
410110011001,404,123,267,0,0,0,0,0,0,0,0,0,0,0,0
410110011002,363,108,242,0,0,0,0,0,0,0,0,0,0,0,0
410110011003,345,128,205,0,0,0,0,0,0,0,0,0,0,0,0
410110011004,478,176,285,0,0,0,0,0,0,0,0,0,0,0,0
410110011005,472,156,300,0,0,0,0,0,0,0,0,0,0,0,0
410110011006,385,130,241,0,0,0,0,0,0,0,0,0,0,0,0
410110011007,496,183,285,0,0,0,0,0,0,0,0,0,0,0,0
410119901010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410139501001,341,98,235,0,0,0,0,0,0,0,0,0,0,0,0
410139501002,596,196,387,0,0,0,0,0,0,0,0,0,0,0,0
410139501003,1714,631,1050,0,0,0,0,0,0,0,0,0,0,0,0
410139501004,223,83,132,0,0,0,0,0,0,0,0,0,0,0,0
410139501005,405,162,231,0,0,0,0,0,0,0,0,0,0,0,0
410139502001,648,180,450,0,0,0,0,0,0,0,0,0,0,0,0
410139502002,493,146,338,0,0,0,0,0,0,0,0,0,0,0,0
410139502003,343,144,185,0,0,0,0,0,0,0,0,0,0,0,0
410139502004,532,160,360,0,0,0,0,0,0,0,0,0,0,0,0
410139503001,218,89,123,0,0,0,0,0,0,0,0,0,0,0,0
410139503002,517,241,264,0,0,0,0,0,0,0,0,0,0,0,0
410139503003,345,143,192,0,0,0,0,0,0,0,0,0,0,0,0
410139503004,301,103,189,0,0,0,0,0,0,0,0,0,0,0,0
410139503005,1452,434,983,0,0,0,0,0,0,0,0,0,0,0,0
410139504001,1829,716,1045,0,0,0,0,0,0,0,0,0,0,0,0
410139504002,319,106,207,0,0,0,0,0,0,0,0,0,0,0,0
410159501001,635,290,328,0,0,0,0,0,0,0,0,0,0,0,0
410159501002,660,378,260,0,0,0,0,0,0,0,0,0,0,0,0
410159501003,565,313,234,0,0,0,0,0,0,0,0,0,0,0,0
410159502001,837,383,433,0,0,0,0,0,0,0,0,0,0,0,0
410159502002,926,419,485,0,0,0,0,0,0,0,0,0,0,0,0
410159502003,1197,477,694,0,0,0,0,0,0,0,0,0,0,0,0
410159503011,1058,416,603,0,0,0,0,0,0,0,0,0,0,0,0
410159503012,423,166,245,0,0,0,0,0,0,0,0,0,0,0,0
410159503013,776,319,437,0,0,0,0,0,0,0,0,0,0,0,0
410159503021,478,184,275,0,0,0,0,0,0,0,0,0,0,0,0
410159503022,1319,555,729,0,0,0,0,0,0,0,0,0,0,0,0
410159503023,688,286,383,0,0,0,0,0,0,0,0,0,0,0,0
410159504001,737,284,428,0,0,0,0,0,0,0,0,0,0,0,0
410159504002,384,151,219,0,0,0,0,0,0,0,0,0,0,0,0
410159504003,797,303,479,0,0,0,0,0,0,0,0,0,0,0,0
410159504004,736,306,414,0,0,0,0,0,0,0,0,0,0,0,0
410159901010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410170001001,1306,545,750,0,0,0,0,0,0,0,0,0,0,0,0
410170002001,917,367,526,0,0,0,0,0,0,0,0,0,0,0,0
410170002002,397,150,233,0,0,0,0,0,0,0,0,0,0,0,0
410170002003,559,213,325,0,0,0,0,0,0,0,0,0,0,0,0
410170002004,428,165,249,0,0,0,0,0,0,0,0,0,0,0,0
410170003001,1488,702,763,0,0,0,0,0,0,0,0,0,0,0,0
