GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
470190896,0,0,0,1284,308,954
470190900,0,0,0,915,234,667
470190904,0,0,0,176,69,105
470190908,0,0,0,1461,375,1078
470190912,0,0,0,788,197,579
470190916,0,0,0,2708,766,1909
470190920,0,0,0,890,360,510
470190924,0,0,0,1513,446,1034
470190928,0,0,0,1655,359,1275
470190932,0,0,0,833,226,592
470190936,0,0,0,271,69,199
470190944,0,0,0,523,92,420
470190952,0,0,0,583,155,414
470190956,0,0,0,1397,280,1101
470190960,0,0,0,515,101,403
470190964,0,0,0,1161,272,871
470190968,0,0,0,857,204,640
470190972,0,0,0,1314,326,972
470190976,0,0,0,250,65,179
470190980,0,0,0,1508,374,1111
470210988,0,0,0,2143,839,1271
470210996,0,0,0,2381,677,1675
470211000,0,0,0,3291,931,2306
470211004,0,0,0,46,13,32
470211008,0,0,0,1642,495,1129
470211010,0,0,0,972,289,668
470211012,0,0,0,743,268,458
470211016,0,0,0,2018,757,1231
470211020,0,0,0,3192,1229,1932
470231032,0,0,0,404,109,289
470231040,0,0,0,334,97,237
470231044,0,0,0,303,95,203
470231048,0,0,0,457,120,333
470231052,0,0,0,730,214,509
470231068,0,0,0,244,72,169
470231076,0,0,0,251,45,202
470231080,0,0,0,665,135,522
470231084,0,0,0,1230,256,960
470231088,0,0,0,1188,421,755
470231092,0,0,0,653,233,408
470251104,0,0,0,1434,405,1011
470251112,0,0,0,489,101,380
470251116,0,0,0,225,109,113
470251120,0,0,0,699,216,475
470251124,0,0,0,200,60,133
470251128,0,0,0,170,53,105
470251132,0,0,0,373,82,285
470251136,0,0,0,705,192,501
470251140,0,0,0,147,35,111
470251144,0,0,0,118,30,87
470251148,0,0,0,258,80,178
470251152,0,0,0,1135,329,785
470251156,0,0,0,550,123,419
470251160,0,0,0,376,106,257
470251164,0,0,0,702,214,484
470251168,0,0,0,675,192,470
470251172,0,0,0,1507,527,952
470251176,0,0,0,657,224,429
470271180,0,0,0,610,195,400
470271190,0,0,0,552,173,365
470271196,0,0,0,605,335,261
470271210,0,0,0,212,92,116
470271212,0,0,0,394,181,204
470271220,0,0,0,310,158,144
470271224,0,0,0,311,114,186
470291240,0,0,0,44,10,33
470291244,0,0,0,527,142,377
470291248,0,0,0,491,141,344
470291250,0,0,0,440,110,324
470291252,0,0,0,1131,263,845
470291256,0,0,0,630,197,429
470291260,0,0,0,1281,344,908
470291264,0,0,0,589,170,411
470291268,0,0,0,815,245,555
470291272,0,0,0,964,186,756
470291276,0,0,0,566,148,414
470291280,0,0,0,419,110,298
470291288,0,0,0,406,87,315
470291292,0,0,0,863,247,608
470291296,0,0,0,747,215,526
470291300,0,0,0,921,246,660
470291304,0,0,0,245,56,187
470291308,0,0,0,705,201,489
470291312,0,0,0,697,222,466
470311320,0,0,0,1198,407,768
470311324,0,0,0,491,146,332
470311328,0,0,0,687,275,400
470311330,0,0,0,1409,490,891
470311332,0,0,0,1133,412,701
