GEOID10,Tot_2017_gov,Dem_2017_gov,Rep_2017_gov,Tot_2017_ltg,Dem_2017_ltg,Rep_2017_ltg,Tot_2017_ag,Dem_2017_ag,Rep_2017_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
51085103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,530,1165
51085104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,674,995
51085201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2349,748,1580
51085202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,432,602
51085203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,661,1434
51085204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,353,539
51085206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,243,467
51085207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,121,175
51085301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,503,1302
51085302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,548,967
51085303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,341,978
51085304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,782,1689
51085305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,664,1130
51085401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,324,1222
51085402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455,402,1050
51085403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139,923,2191
51085404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,299,1043
51085405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,455,846
51085406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,178,315
51085502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,517,1230
51085503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,548,1127
51085504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,238,992
51085505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,110,374
51085506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,606,1176
51085507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,558,1148
51085601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629,709,1909
