GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
300210001002,442,119,305,0,0,0,0,0,0,0,0,0,0,0,0
300210002001,312,102,194,0,0,0,0,0,0,0,0,0,0,0,0
300210002002,316,96,206,0,0,0,0,0,0,0,0,0,0,0,0
300210002003,375,133,223,0,0,0,0,0,0,0,0,0,0,0,0
300210002004,337,116,205,0,0,0,0,0,0,0,0,0,0,0,0
300210003001,894,331,530,0,0,0,0,0,0,0,0,0,0,0,0
300210003002,268,108,146,0,0,0,0,0,0,0,0,0,0,0,0
300210003003,334,135,184,0,0,0,0,0,0,0,0,0,0,0,0
300210003004,408,188,202,0,0,0,0,0,0,0,0,0,0,0,0
300210003005,334,137,182,0,0,0,0,0,0,0,0,0,0,0,0
300230003001,509,346,141,0,0,0,0,0,0,0,0,0,0,0,0
300230003002,395,280,102,0,0,0,0,0,0,0,0,0,0,0,0
300230003003,456,320,123,0,0,0,0,0,0,0,0,0,0,0,0
300230004001,737,492,228,0,0,0,0,0,0,0,0,0,0,0,0
300230004002,493,341,134,0,0,0,0,0,0,0,0,0,0,0,0
300230004003,457,324,117,0,0,0,0,0,0,0,0,0,0,0,0
300230004004,428,301,109,0,0,0,0,0,0,0,0,0,0,0,0
300230005001,308,160,140,0,0,0,0,0,0,0,0,0,0,0,0
300230005002,592,375,197,0,0,0,0,0,0,0,0,0,0,0,0
300230005003,278,181,88,0,0,0,0,0,0,0,0,0,0,0,0
300230005004,421,282,123,0,0,0,0,0,0,0,0,0,0,0,0
300250001001,533,92,417,0,0,0,0,0,0,0,0,0,0,0,0
300250001002,505,134,359,0,0,0,0,0,0,0,0,0,0,0,0
300250001003,394,92,288,0,0,0,0,0,0,0,0,0,0,0,0
300270301001,728,189,512,0,0,0,0,0,0,0,0,0,0,0,0
300270301002,741,156,561,0,0,0,0,0,0,0,0,0,0,0,0
300270301003,1488,422,1019,0,0,0,0,0,0,0,0,0,0,0,0
300270302001,1089,358,699,0,0,0,0,0,0,0,0,0,0,0,0
300270302002,1026,377,624,0,0,0,0,0,0,0,0,0,0,0,0
300270302003,1160,431,693,0,0,0,0,0,0,0,0,0,0,0,0
300290001001,357,150,187,0,0,0,0,0,0,0,0,0,0,0,0
300290001002,873,379,455,0,0,0,0,0,0,0,0,0,0,0,0
300290001003,373,130,210,0,0,0,0,0,0,0,0,0,0,0,0
300290002011,944,353,528,0,0,0,0,0,0,0,0,0,0,0,0
300290002012,491,200,271,0,0,0,0,0,0,0,0,0,0,0,0
300290002013,617,201,386,0,0,0,0,0,0,0,0,0,0,0,0
300290002021,647,186,423,0,0,0,0,0,0,0,0,0,0,0,0
300290002022,666,199,428,0,0,0,0,0,0,0,0,0,0,0,0
300290002031,985,370,573,0,0,0,0,0,0,0,0,0,0,0,0
300290002032,478,203,254,0,0,0,0,0,0,0,0,0,0,0,0
300290002033,411,167,226,0,0,0,0,0,0,0,0,0,0,0,0
300290003001,389,199,176,0,0,0,0,0,0,0,0,0,0,0,0
300290003002,575,304,249,0,0,0,0,0,0,0,0,0,0,0,0
300290003003,280,164,104,0,0,0,0,0,0,0,0,0,0,0,0
300290003004,570,347,198,0,0,0,0,0,0,0,0,0,0,0,0
300290003005,637,307,293,0,0,0,0,0,0,0,0,0,0,0,0
300290004011,991,510,445,0,0,0,0,0,0,0,0,0,0,0,0
300290004012,1139,516,572,0,0,0,0,0,0,0,0,0,0,0,0
300290004013,157,83,69,0,0,0,0,0,0,0,0,0,0,0,0
300290004014,498,272,208,0,0,0,0,0,0,0,0,0,0,0,0
300290004021,666,307,329,0,0,0,0,0,0,0,0,0,0,0,0
300290004022,705,381,292,0,0,0,0,0,0,0,0,0,0,0,0
300290004023,213,125,79,0,0,0,0,0,0,0,0,0,0,0,0
300290006011,976,304,634,0,0,0,0,0,0,0,0,0,0,0,0
300290006012,771,240,506,0,0,0,0,0,0,0,0,0,0,0,0
300290006013,371,110,245,0,0,0,0,0,0,0,0,0,0,0,0
300290006021,607,157,429,0,0,0,0,0,0,0,0,0,0,0,0
300290006022,699,194,468,0,0,0,0,0,0,0,0,0,0,0,0
300290006023,450,125,300,0,0,0,0,0,0,0,0,0,0,0,0
300290007001,274,85,175,0,0,0,0,0,0,0,0,0,0,0,0
300290007002,473,158,283,0,0,0,0,0,0,0,0,0,0,0,0
300290007003,596,171,396,0,0,0,0,0,0,0,0,0,0,0,0
300290007004,379,109,251,0,0,0,0,0,0,0,0,0,0,0,0
300290007005,391,131,233,0,0,0,0,0,0,0,0,0,0,0,0
300290008001,991,342,610,0,0,0,0,0,0,0,0,0,0,0,0
300290008002,557,194,347,0,0,0,0,0,0,0,0,0,0,0,0
300290008003,948,323,579,0,0,0,0,0,0,0,0,0,0,0,0
300290008004,1110,391,688,0,0,0,0,0,0,0,0,0,0,0,0
300290009001,1125,390,697,0,0,0,0,0,0,0,0,0,0,0,0
300290009002,704,261,424,0,0,0,0,0,0,0,0,0,0,0,0
300290009003,456,197,241,0,0,0,0,0,0,0,0,0,0,0,0
300290009004,430,177,238,0,0,0,0,0,0,0,0,0,0,0,0
300290009005,520,180,304,0,0,0,0,0,0,0,0,0,0,0,0
300290010001,432,195,216,0,0,0,0,0,0,0,0,0,0,0,0
300290010002,398,177,196,0,0,0,0,0,0,0,0,0,0,0,0
300290011001,415,179,210,0,0,0,0,0,0,0,0,0,0,0,0
300290011002,557,245,279,0,0,0,0,0,0,0,0,0,0,0,0
300290011003,253,114,126,0,0,0,0,0,0,0,0,0,0,0,0
300290011004,368,161,190,0,0,0,0,0,0,0,0,0,0,0,0
300290011005,349,144,186,0,0,0,0,0,0,0,0,0,0,0,0
300290011006,386,173,197,0,0,0,0,0,0,0,0,0,0,0,0
300290012001,945,316,587,0,0,0,0,0,0,0,0,0,0,0,0
300290012002,1159,384,722,0,0,0,0,0,0,0,0,0,0,0,0
300290012003,536,211,302,0,0,0,0,0,0,0,0,0,0,0,0
300290012004,478,169,280,0,0,0,0,0,0,0,0,0,0,0,0
300290013011,612,199,391,0,0,0,0,0,0,0,0,0,0,0,0
300290013012,838,278,532,0,0,0,0,0,0,0,0,0,0,0,0
300290013013,501,161,321,0,0,0,0,0,0,0,0,0,0,0,0
300290013021,819,256,529,0,0,0,0,0,0,0,0,0,0,0,0
300290013022,1068,326,695,0,0,0,0,0,0,0,0,0,0,0,0
300290013023,744,225,487,0,0,0,0,0,0,0,0,0,0,0,0
300290014001,831,246,546,0,0,0,0,0,0,0,0,0,0,0,0
300290014002,665,200,435,0,0,0,0,0,0,0,0,0,0,0,0
300290014003,1241,390,800,0,0,0,0,0,0,0,0,0,0,0,0
300290017001,794,213,533,0,0,0,0,0,0,0,0,0,0,0,0
300290017002,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
300290017003,788,256,497,0,0,0,0,0,0,0,0,0,0,0,0
