GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
440030207031,1478,826,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030207032,495,294,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030207033,1703,856,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030208001,848,432,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030208002,1136,573,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030208003,1237,586,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209011,671,425,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209012,342,217,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209013,325,177,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209014,531,287,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209031,1364,604,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209032,825,422,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209033,1377,709,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209041,1020,486,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030209042,1149,589,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030210011,617,399,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030210012,593,370,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030210021,918,608,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030210022,644,463,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030210023,404,252,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030210024,789,495,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
