GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19153153022,1912,832,1043,0,0,0,0,0,0,0,0,0,0,0,0
19153153023,1525,607,897,0,0,0,0,0,0,0,0,0,0,0,0
19153153024,155,62,91,0,0,0,0,0,0,0,0,0,0,0,0
19153153025,3798,1720,2022,0,0,0,0,0,0,0,0,0,0,0,0
19153153027,8592,3916,4573,0,0,0,0,0,0,0,0,0,0,0,0
19153153030,414,231,168,0,0,0,0,0,0,0,0,0,0,0,0
19153153031,568,348,208,0,0,0,0,0,0,0,0,0,0,0,0
19153153032,1194,618,547,0,0,0,0,0,0,0,0,0,0,0,0
19153153033,1133,533,580,0,0,0,0,0,0,0,0,0,0,0,0
19153153034,840,457,361,0,0,0,0,0,0,0,0,0,0,0,0
19153153035,494,300,178,0,0,0,0,0,0,0,0,0,0,0,0
19153153036,787,440,332,0,0,0,0,0,0,0,0,0,0,0,0
19153153037,7221,3649,3423,0,0,0,0,0,0,0,0,0,0,0,0
19153153041,761,355,394,0,0,0,0,0,0,0,0,0,0,0,0
19153153042,328,149,173,0,0,0,0,0,0,0,0,0,0,0,0
19153153043,963,438,506,0,0,0,0,0,0,0,0,0,0,0,0
19153153044,1187,544,620,0,0,0,0,0,0,0,0,0,0,0,0
19153153045,1360,576,753,0,0,0,0,0,0,0,0,0,0,0,0
19153153046,4351,2234,2043,0,0,0,0,0,0,0,0,0,0,0,0
19153153049,248,127,116,0,0,0,0,0,0,0,0,0,0,0,0
19153153050,42,21,20,0,0,0,0,0,0,0,0,0,0,0,0
19153153051,5908,2807,3016,0,0,0,0,0,0,0,0,0,0,0,0
19153153052,3118,1768,1304,0,0,0,0,0,0,0,0,0,0,0,0
19153153053,1698,896,770,0,0,0,0,0,0,0,0,0,0,0,0
19153153054,1577,815,742,0,0,0,0,0,0,0,0,0,0,0,0
19153153055,1638,888,716,0,0,0,0,0,0,0,0,0,0,0,0
19153153056,1776,996,749,0,0,0,0,0,0,0,0,0,0,0,0
19153153057,1496,748,717,0,0,0,0,0,0,0,0,0,0,0,0
19153153058,1776,792,968,0,0,0,0,0,0,0,0,0,0,0,0
19153153059,1697,885,786,0,0,0,0,0,0,0,0,0,0,0,0
19153153060,1884,852,1013,0,0,0,0,0,0,0,0,0,0,0,0
19153153061,1890,923,946,0,0,0,0,0,0,0,0,0,0,0,0
19153153062,1473,754,693,0,0,0,0,0,0,0,0,0,0,0,0
19153153063,2430,1058,1333,0,0,0,0,0,0,0,0,0,0,0,0
19153153064,1288,793,469,0,0,0,0,0,0,0,0,0,0,0,0
19153153065,1014,605,394,0,0,0,0,0,0,0,0,0,0,0,0
19153153066,1311,847,432,0,0,0,0,0,0,0,0,0,0,0,0
19153153067,1586,823,739,0,0,0,0,0,0,0,0,0,0,0,0
19153153068,1534,825,696,0,0,0,0,0,0,0,0,0,0,0,0
19153153069,1386,866,497,0,0,0,0,0,0,0,0,0,0,0,0
19153153070,1934,1164,756,0,0,0,0,0,0,0,0,0,0,0,0
19153153071,1600,769,798,0,0,0,0,0,0,0,0,0,0,0,0
19153153072,779,346,423,0,0,0,0,0,0,0,0,0,0,0,0
19153153073,1124,481,632,0,0,0,0,0,0,0,0,0,0,0,0
19153153074,1061,565,479,0,0,0,0,0,0,0,0,0,0,0,0
19153153075,1420,719,682,0,0,0,0,0,0,0,0,0,0,0,0
19153153076,1756,971,766,0,0,0,0,0,0,0,0,0,0,0,0
19153153077,1678,789,866,0,0,0,0,0,0,0,0,0,0,0,0
19153153078,2428,967,1433,0,0,0,0,0,0,0,0,0,0,0,0
19153153079,1512,689,809,0,0,0,0,0,0,0,0,0,0,0,0
19153153080,1900,1082,789,0,0,0,0,0,0,0,0,0,0,0,0
19153153081,1313,844,436,0,0,0,0,0,0,0,0,0,0,0,0
19153153082,1130,676,436,0,0,0,0,0,0,0,0,0,0,0,0
19153153083,932,598,317,0,0,0,0,0,0,0,0,0,0,0,0
19153153084,692,431,244,0,0,0,0,0,0,0,0,0,0,0,0
19153153085,818,541,262,0,0,0,0,0,0,0,0,0,0,0,0
19153153086,844,592,234,0,0,0,0,0,0,0,0,0,0,0,0
19153153087,711,460,229,0,0,0,0,0,0,0,0,0,0,0,0
19153153088,899,593,289,0,0,0,0,0,0,0,0,0,0,0,0
19153153089,632,362,255,0,0,0,0,0,0,0,0,0,0,0,0
